Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Icahn enterprises lp,IEP,,277653658,13455096267,60.7234,,1,11020883,4.133356,addition,90.4502647,,INDUSTRIALS,13D,06/29/2022,,
Cvr energy inc,CVI,,71198718,1818415000,8.20658,5.3696,2,0,0,,70.8229322,Q4 2011,ENERGY,13F,03/31/2022,27.15,
Cheniere energy inc,LNG,,9722592,1348037000,6.08375,7.357,3,-6446014,-39.867469,reduction,3.8256977,Q2 2015,ENERGY,13F,03/31/2022,47.23,
Firstenergy corp.,FE,,18967757,869861000,3.92572,3.5392,4,0,0,,3.322243,Q1 2021,UTILITIES AND TELECOMMUNICATIONS,13F,03/31/2022,34.69,
Bausch health companies,BHC,,34721118,793378000,3.58055,4.301,5,0,0,,9.6183115,Q4 2020,HEALTH CARE,13F,03/31/2022,30.09,
