Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Howmet aerospace inc. (aluminum co. of america - alcoa - arconic),HWM,,41065000,1475876000,14.7568,11.5673,1,0,0,,9.8261822,Q4 2015,INDUSTRIALS,13F,03/31/2022,92.03,
Marathon petroleum corp,MPC,,11065000,946058000,9.4593,5.9856,2,495000,4.683065,addition,2.0453057,Q2 2019,ENERGY,13F,03/31/2022,59.1156,
Invesco qqq trust  series 1,QQQ,PUT,2394400,868066000,8.6795,12.1785,3,-1064600,-30.777681,reduction,No Data,Q3 2015,FINANCE,13F,03/31/2022,,
Peabody energy corp,BTU,,25859970,634345000,6.3426,2.3045,4,0,0,,17.9832893,Q2 2017,ENERGY,13F,03/31/2022,28.89,
Invesco qqq trust  series 1,QQQ,CALL,1500000,543810000,5.4374,,5,1500000,,new,No Data,Q1 2022,FINANCE,13F,03/31/2022,,
