Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Berkshire hathaway inc class b,BRK.B,,28686679,10123816000,51.22,43.8481,1,-5000000,-14.842662,reduction,2.2311219,Q3 2006,FINANCE,13F,03/31/2022,154.08,
Waste management  inc.,WM,,18633672,2953437000,14.9425,13.5387,2,0,0,,4.4878027,Q3 2002,INDUSTRIALS,13F,03/31/2022,29.31,
Canadian national railway co.,CNI,,13066169,1753000000,8.8691,6.9901,3,0,0,,1.9020496,Q3 2002,TRANSPORTS,13F,03/31/2022,7.1,
Caterpillar inc.,CAT,,7353614,1638532000,8.2899,8.7167,4,-2331518,-24.073167,reduction,1.3787513,Q4 2005,INDUSTRIALS,13F,03/31/2022,57.22,
Ecolab inc.,ECL,,4366427,770936000,3.9004,4.4592,5,0,0,,1.5285657,Q2 2010,MATERIALS,13F,03/31/2022,47.3,
