Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Lowes companies  inc.,LOW,,10207306,2063815000,20.0383,24.542,1,-29165,-0.284913,reduction,1.5970655,Q2 2018,CONSUMER DISCRETIONARY,13F,03/31/2022,96.01,
Chipotle mexican grill  inc.,CMG,,1114725,1763528000,17.1227,18.0761,2,0,0,,3.9865072,Q3 2016,CONSUMER DISCRETIONARY,13F,03/31/2022,422.91,
Hilton worldwide holdings inc,HLT,,9952287,1510160000,14.6627,18.2223,3,-2642049,-20.978073,reduction,3.5756931,Q4 2018,CONSUMER DISCRETIONARY,13F,03/31/2022,71.57,
Restaurant brands international inc,QSR,,23864631,1393456000,13.5295,13.4726,4,-72617,-0.303364,reduction,7.7733786,Q4 2014,CONSUMER DISCRETIONARY,13F,03/31/2022,45.42,
Howard hughes corp (the),HHC,,13620164,1318704278,12.8038,13.5797,5,0,0,,26.5230276,,REAL ESTATE,13D,04/11/2022,,
